Alexandria City, Virginia, Average Temperature, January-December
Units: Degrees Fahrenheit
Missing: -99
Date,Value
189512,53.5
189612,55.2
189712,54.5
189812,56.1
189912,54.5
190012,56.3
190112,53.6
190212,54.6
190312,54.3
190412,52.0
190512,54.1
190612,55.7
190712,52.9
190812,54.5
190912,54.7
191012,54.6
191112,56.2
191212,53.8
191312,56.4
191412,54.2
191512,54.6
191612,53.8
191712,52.2
191812,54.6
191912,55.7
192012,54.2
192112,57.8
192212,56.0
192312,55.7
192412,53.8
192512,55.7
192612,54.0
192712,55.3
192812,55.1
192912,55.7
193012,56.4
193112,57.3
193212,56.7
193312,56.4
193412,55.2
193512,54.9
193612,55.3
193712,55.7
193812,56.6
193912,56.5
194012,53.3
194112,56.0
194212,56.0
194312,55.7
194412,55.7
194512,55.8
194612,56.6
194712,55.0
194812,55.3
194912,57.5
195012,55.3
195112,55.9
195212,56.2
195312,57.4
195412,56.3
195512,55.8
195612,55.4
195712,56.2
195812,53.6
195912,56.8
196012,54.5
196112,55.1
196212,54.2
196312,54.2
196412,55.8
196512,55.2
196612,54.7
196712,54.3
196812,55.2
196912,54.9
197012,55.6
197112,55.9
197212,54.9
197312,57.0
197412,56.1
197512,56.4
197612,54.9
197712,55.6
197812,54.5
197912,54.6
198012,55.6
198112,55.1
198212,55.2
198312,55.9
198412,55.9
198512,56.6
198612,56.1
198712,56.5
198812,55.5
198912,55.2
199012,58.3
199112,58.3
199212,55.0
199312,55.9
199412,56.2
199512,56.1
199612,55.0
199712,55.8
199812,58.8
199912,57.4
200012,55.8
200112,56.9
200212,57.9
200312,55.3
200412,56.8
200512,56.8
200612,58.1
200712,57.6
200812,57.1
200912,56.1
201012,57.8
201112,58.3
201212,59.3
201312,56.7
201412,55.9
201512,57.6
201612,58.5
201712,58.6
201812,57.7
201912,58.6
202012,58.9
202112,58.7
202212,57.4
