Ashland County, Wisconsin, Average Temperature, January-December
Units: Degrees Fahrenheit
Missing: -99
Date,Value
189512,38.2
189612,38.4
189712,37.8
189812,40.1
189912,37.9
190012,40.1
190112,38.7
190212,39.5
190312,38.0
190412,36.6
190512,38.7
190612,39.8
190712,37.1
190812,40.9
190912,39.0
191012,40.1
191112,39.7
191212,36.8
191312,39.0
191412,38.5
191512,39.0
191612,36.7
191712,34.4
191812,38.7
191912,38.8
192012,38.5
192112,41.7
192212,39.4
192312,38.7
192412,36.5
192512,38.9
192612,37.0
192712,37.9
192812,38.4
192912,36.8
193012,40.0
193112,43.9
193212,38.3
193312,39.0
193412,39.6
193512,38.4
193612,37.2
193712,38.1
193812,40.6
193912,40.3
194012,38.3
194112,41.6
194212,39.6
194312,37.8
194412,40.6
194512,37.7
194612,39.9
194712,38.7
194812,39.3
194912,40.5
195012,35.6
195112,36.9
195212,40.1
195312,40.7
195412,39.6
195512,39.5
195612,38.9
195712,38.7
195812,39.0
195912,38.9
196012,38.8
196112,40.2
196212,38.6
196312,39.2
196412,39.8
196512,37.3
196612,38.4
196712,37.6
196812,39.6
196912,39.0
197012,38.8
197112,38.4
197212,36.2
197312,41.0
197412,38.6
197512,39.6
197612,38.3
197712,40.0
197812,38.2
197912,37.0
198012,38.9
198112,40.7
198212,38.3
198312,40.6
198412,40.1
198512,37.9
198612,40.0
198712,43.6
198812,40.0
198912,37.7
199012,41.1
199112,40.5
199212,39.8
199312,38.7
199412,39.9
199512,39.6
199612,37.0
199712,39.7
199812,44.5
199912,42.4
200012,40.7
200112,42.6
200212,40.9
200312,39.7
200412,40.0
200512,42.0
200612,43.0
200712,41.6
200812,38.5
200912,39.2
201012,42.5
201112,41.2
201212,44.1
201312,38.1
201412,36.8
201512,41.7
201612,42.9
201712,40.7
201812,39.5
201912,38.5
202012,41.2
202112,42.2
202212,38.9
