Hennepin County, Minnesota, Average Temperature, January-December
Units: Degrees Fahrenheit
Missing: -99
Date,Value
189512,42.1
189612,42.1
189712,41.6
189812,43.2
189912,41.8
190012,44.2
190112,43.2
190212,43.1
190312,41.0
190412,40.5
190512,42.2
190612,43.5
190712,41.1
190812,44.8
190912,42.3
191012,44.6
191112,43.8
191212,41.9
191312,44.4
191412,43.7
191512,43.2
191612,40.6
191712,38.8
191812,43.5
191912,42.5
192012,43.0
192112,46.3
192212,44.6
192312,43.8
192412,41.2
192512,43.2
192612,42.3
192712,42.2
192812,44.2
192912,41.1
193012,44.8
193112,48.9
193212,42.9
193312,44.5
193412,45.6
193512,43.2
193612,41.7
193712,42.2
193812,45.3
193912,44.9
194012,42.4
194112,45.7
194212,44.1
194312,42.2
194412,45.0
194512,42.1
194612,44.5
194712,43.5
194812,44.0
194912,44.9
195012,40.2
195112,40.0
195212,44.0
195312,45.0
195412,44.5
195512,43.5
195612,43.1
195712,43.5
195812,43.9
195912,43.9
196012,42.9
196112,44.0
196212,42.8
196312,44.3
196412,44.9
196512,41.7
196612,42.3
196712,42.1
196812,44.3
196912,43.1
197012,42.5
197112,43.1
197212,40.9
197312,45.8
197412,43.6
197512,43.4
197612,43.9
197712,44.3
197812,42.4
197912,41.6
198012,44.1
198112,45.3
198212,42.7
198312,44.3
198412,44.2
198512,42.3
198612,44.7
198712,48.7
198812,45.3
198912,42.7
199012,46.3
199112,44.9
199212,44.3
199312,42.3
199412,44.2
199512,44.0
199612,41.5
199712,44.0
199812,48.2
199912,46.9
200012,45.2
200112,46.0
200212,45.4
200312,44.9
200412,45.1
200512,46.8
200612,47.6
200712,46.0
200812,43.1
200912,43.9
201012,46.3
201112,45.6
201212,49.0
201312,43.0
201412,41.6
201512,46.8
201612,47.9
201712,46.4
201812,44.2
201912,42.9
202012,46.2
202112,47.5
202212,44.0
