San Diego County, California, Average Temperature, January-December
Units: Degrees Fahrenheit
Missing: -99
Date,Value
189512,62.1
189612,62.4
189712,60.7
189812,61.1
189912,60.5
190012,61.0
190112,61.6
190212,59.7
190312,59.8
190412,60.3
190512,60.5
190612,60.5
190712,60.0
190812,59.8
190912,59.9
191012,61.9
191112,59.6
191212,59.0
191312,59.3
191412,61.2
191512,60.0
191612,59.6
191712,59.9
191812,61.1
191912,60.1
192012,59.4
192112,60.4
192212,60.4
192312,60.1
192412,60.5
192512,60.5
192612,61.5
192712,60.3
192812,61.0
192912,60.4
193012,60.9
193112,62.1
193212,60.2
193312,59.7
193412,62.9
193512,60.5
193612,62.2
193712,61.0
193812,61.1
193912,61.7
194012,62.5
194112,60.5
194212,60.8
194312,61.9
194412,59.7
194512,60.6
194612,60.9
194712,61.5
194812,59.8
194912,60.0
195012,61.6
195112,60.7
195212,60.5
195312,61.0
195412,61.7
195512,60.3
195612,61.1
195712,61.5
195812,62.8
195912,63.3
196012,61.9
196112,61.8
196212,61.3
196312,61.7
196412,60.6
196512,60.7
196612,61.8
196712,61.6
196812,61.5
196912,61.6
197012,61.5
197112,60.1
197212,61.5
197312,60.4
197412,61.3
197512,59.9
197612,61.5
197712,62.1
197812,61.9
197912,61.5
198012,62.4
198112,63.6
198212,61.2
198312,62.3
198412,63.1
198512,61.8
198612,62.7
198712,61.8
198812,62.5
198912,62.8
199012,62.4
199112,61.8
199212,63.3
199312,62.4
199412,62.2
199512,63.2
199612,63.9
199712,63.7
199812,61.2
199912,62.1
200012,63.1
200112,62.6
200212,62.5
200312,63.5
200412,62.6
200512,62.9
200612,63.5
200712,63.1
200812,63.7
200912,63.5
201012,61.8
201112,62.0
201212,63.9
201312,63.4
201412,65.9
201512,64.9
201612,64.8
201712,65.2
201812,64.8
201912,62.4
202012,64.7
202112,64.2
202212,64.2
