lakecode,ManuscriptName,lake,latitude,longitude,continent,country,elevation,surface_area,mean_depth,max_depth,shoreline,contributor,alternate_lakenames,surface_area_source,mean_depth_source,max_depth_source,shoreline_source,elevation_google
ARAI1,Lake Suwa,suwa,36.04,138.08,Asia,Japan,759,13.7,4.1,7.6,18,Yasuyuki Aono,Lake Suwa;LAKE SUWA;Suwa,Yasuyuki Aono,Yasuyuki Aono,Yasuyuki Aono,LIAG,807.2
DML1,Lej de San Murezzan,lej_da_san_murezzan,46.494,9.847,Europe,Switzerland,1768,0.78,25,44,NA,Damien Bouffard,LEJ DA SAN MUREZZAN;Lej de San Murezzan,Damien Bouffard,Damien Bouffard,Damien Bouffard,,1807.7
DMR1,Lake Mendota,mendota,43.128,-89.42,North America,United States of America,259.1,39.377,12.8,25.3,33.8,Dale Robertson,Mendota,LIAG,LIAG,LIAG,LIAG,266.5
DMR2,Lake Monona,monona,43.067,-89.366,North America,United States of America,257.5,13.24,8.2,22.5,20.9,Dale Robertson,Monona,LIAG,LIAG,LIAG,LIAG,261.2
GAH1,Lake Auburn,auburn,44.1444,-70.25,North America,United States of America,79,9,11,36,20,Julia Daly,Lake Auburn,LSM,LSM,LSM,LSM,112
GAH10,Kezar Lake,kezar,44.193,-70.901,North America,United States of America,115,11,10,47,55,Julia Daly,Kezar Lake,LSM,LSM,LSM,LSM,206
GAH14,Mooselookmeguntic Lake ,mooselookmeguntic,44.9069,-70.8111,North America,United States of America,447,66,18,40,92,Julia Daly,Mooselookmeguntic Lake,LSM,LSM,LAKEPEDIA,LSM,509.7
GAH15,Pennesseewassee Lake,pennessewassee,44.2261,-70.5786,North America,United States of America,116,4,6,15,19,Julia Daly,Pennesseewassee (Norway) Lake;Pennessewassee Lake,LSM,LSM,LSM,LSM,168.9
GAH20,Richardson Lake,richardson,44.8564,-70.8656,North America,United States of America,441,31,13,33,87,Julia Daly,Richardson Lake,LSM,LSM,LSM,LSM,496.1
GAH21,Sebago Lake,sebago,43.8708,-70.5669,North America,United States of America,81,121,33,96,158,Julia Daly,Sebago Lake;Sebago Lake *(see notes),LSM,LSM,LSM,LSM,82.2
GAH22,Sebec Lake,sebec,45.2828,-69.2792,North America,United States of America,98,26,13,47,84,Julia Daly,Sebec Lake,LSM,LSM,LAKEPEDIA,LSM,131.9
GAH24,Lake Sunapee,sunapee,43.376,-72.053,North America,United States of America,333,17,11,32,110,Julia Daly,Sunapee Lake,LSPA,NHDES,LAKEPEDIA,NHDES,428.8
GAH26,Thompson Lake,thompson,44.0661,-70.4853,North America,United States of America,93,18,11,37,52,Julia Daly,Thompson Lake,LSM,LSM,LSM,LSM,109.1
