Walworth County, Wisconsin, Average Temperature, January-December
Units: Degrees Fahrenheit
Missing: -99
Date,Value
189512,44.6
189612,47.1
189712,46.4
189812,46.5
189912,46.3
190012,47.1
190112,46.1
190212,46.3
190312,45.4
190412,43.6
190512,45.0
190612,47.0
190712,45.1
190812,47.2
190912,45.6
191012,46.3
191112,47.6
191212,43.8
191312,47.1
191412,46.2
191512,45.6
191612,45.4
191712,42.5
191812,46.4
191912,46.7
192012,45.7
192112,50.0
192212,47.9
192312,46.2
192412,43.5
192512,45.6
192612,44.0
192712,46.7
192812,46.6
192912,44.2
193012,47.2
193112,50.4
193212,46.8
193312,47.8
193412,48.1
193512,45.8
193612,45.6
193712,45.5
193812,48.3
193912,48.6
194012,45.1
194112,48.3
194212,46.4
194312,45.3
194412,47.3
194512,45.5
194612,48.4
194712,46.3
194812,46.4
194912,47.7
195012,44.3
195112,44.1
195212,47.5
195312,48.8
195412,48.0
195512,47.6
195612,47.1
195712,46.4
195812,45.6
195912,46.1
196012,45.9
196112,46.9
196212,45.7
196312,45.5
196412,47.5
196512,46.2
196612,45.7
196712,45.3
196812,47.1
196912,45.7
197012,46.1
197112,46.8
197212,44.6
197312,48.5
197412,46.1
197512,46.9
197612,45.2
197712,46.5
197812,44.8
197912,44.5
198012,46.0
198112,46.9
198212,45.5
198312,47.1
198412,46.8
198512,45.7
198612,46.9
198712,49.4
198812,47.6
198912,45.3
199012,48.4
199112,48.1
199212,46.1
199312,45.8
199412,46.5
199512,46.5
199612,44.4
199712,45.8
199812,50.7
199912,48.8
200012,47.5
200112,48.8
200212,48.4
200312,46.7
200412,47.3
200512,48.4
200612,49.0
200712,48.0
200812,45.6
200912,45.9
201012,48.7
201112,47.7
201212,50.9
201312,45.5
201412,43.9
201512,47.6
201612,49.6
201712,48.8
201812,47.0
201912,46.4
202012,48.6
202112,49.2
202212,46.9
