Washington County, Minnesota, Average Temperature, January-December
Units: Degrees Fahrenheit
Missing: -99
Date,Value
189512,42.4
189612,42.7
189712,42.4
189812,43.9
189912,42.4
190012,44.7
190112,43.7
190212,43.7
190312,41.5
190412,40.9
190512,42.7
190612,43.9
190712,41.5
190812,45.1
190912,42.8
191012,45.0
191112,44.2
191212,41.9
191312,44.7
191412,44.0
191512,43.6
191612,41.3
191712,39.3
191812,44.0
191912,43.0
192012,43.1
192112,46.0
192212,44.6
192312,43.9
192412,41.1
192512,43.2
192612,41.6
192712,41.9
192812,43.8
192912,41.0
193012,44.7
193112,48.9
193212,43.0
193312,44.3
193412,45.0
193512,43.1
193612,41.8
193712,42.3
193812,45.5
193912,45.3
194012,42.8
194112,46.3
194212,44.8
194312,42.8
194412,45.6
194512,42.2
194612,45.0
194712,43.9
194812,44.4
194912,45.2
195012,40.4
195112,40.5
195212,44.2
195312,45.0
195412,44.4
195512,43.6
195612,43.1
195712,43.5
195812,43.8
195912,43.9
196012,43.4
196112,44.1
196212,42.7
196312,44.0
196412,44.8
196512,41.7
196612,42.2
196712,42.2
196812,44.2
196912,43.0
197012,42.6
197112,42.9
197212,40.8
197312,45.3
197412,43.5
197512,43.3
197612,43.5
197712,44.4
197812,42.3
197912,41.4
198012,43.9
198112,45.2
198212,42.7
198312,44.4
198412,44.3
198512,42.3
198612,44.7
198712,48.7
198812,45.2
198912,42.7
199012,46.2
199112,45.0
199212,44.5
199312,42.6
199412,44.4
199512,44.0
199612,41.5
199712,44.0
199812,48.4
199912,47.0
200012,45.5
200112,46.4
200212,45.7
200312,45.1
200412,45.1
200512,46.3
200612,47.6
200712,46.2
200812,43.1
200912,43.8
201012,46.2
201112,45.5
201212,48.9
201312,42.8
201412,41.3
201512,46.4
201612,47.7
201712,46.3
201812,43.9
201912,42.9
202012,46.1
202112,47.4
202212,43.8
